Dataset,Algorithm,severity@20%,rel_severity@20%,severity@10%,rel_severity@10%,severity@5%,rel_severity@5%,acc_ord_3,acc_ord_2,acc_ord_1,acc_ord_0,err_3_to_0,err_3_to_1,err_3_to_2,err_2_to_0,err_2_to_1,err_2_to_3,err_1_to_0,err_1_to_2,err_1_to_3,err_0_to_1,err_0_to_2,err_0_to_3,accuracy@100%,accuracy@40%,accuracy@20%,CLC,spearmanr,kendalltau,MAE,MSE,time
LongMethod,CoordinateAscent,0.5483870967741935,0.85,0.3225806451612903,0.8333333333333334,0.1935483870967742,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.6666666666666666,0.3125,0.125,0.5910138248847926,nan,nan,0.7380952380952381,1.7380952380952381,1.484356164932251
LongMethod,CoordinateAscent,0.3870967741935484,0.6,0.2903225806451613,0.75,0.1935483870967742,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.6666666666666666,0.4375,0.375,0.5234254992319508,nan,nan,0.7380952380952381,1.7380952380952381,1.3807482719421387
LongMethod,CoordinateAscent,0.5161290322580645,0.8,0.3225806451612903,0.8333333333333334,0.1935483870967742,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.6666666666666666,0.25,0.125,0.5802611367127495,nan,nan,0.7380952380952381,1.7380952380952381,1.4298474788665771
LongMethod,CoordinateAscent,0.5806451612903226,0.9,0.2903225806451613,0.75,0.0967741935483871,0.5,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.6666666666666666,0.125,0.125,0.6900921658986178,nan,nan,0.7380952380952381,1.7380952380952381,1.0155696868896484
LongMethod,CoordinateAscent,0.6,0.9473684210526315,0.3333333333333333,0.9090909090909091,0.2,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.6666666666666666,0.375,0.0,0.5444444444444443,nan,nan,0.7142857142857143,1.619047619047619,1.1231367588043213
LongMethod,CoordinateAscent,0.5,0.7894736842105263,0.16666666666666666,0.45454545454545453,0.06666666666666667,0.3333333333333333,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.6666666666666666,0.375,0.125,0.623809523809524,nan,nan,0.7142857142857143,1.619047619047619,1.0960209369659424
LongMethod,CoordinateAscent,0.6333333333333333,1.0,0.26666666666666666,0.7272727272727273,0.13333333333333333,0.6666666666666666,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.6666666666666666,0.25,0.0,0.6182539682539687,nan,nan,0.7142857142857143,1.619047619047619,1.3473448753356934
LongMethod,CoordinateAscent,0.6,0.9473684210526315,0.3333333333333333,0.9090909090909091,0.16666666666666666,0.8333333333333334,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.6666666666666666,0.3125,0.0,0.5626984126984126,nan,nan,0.7142857142857143,1.619047619047619,1.3933591842651367
LongMethod,CoordinateAscent,0.5333333333333333,0.8421052631578947,0.26666666666666666,0.7272727272727273,0.2,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.6666666666666666,0.25,0.125,0.5928571428571427,nan,nan,0.7142857142857143,1.619047619047619,1.4464893341064453
LongMethod,CoordinateAscent,0.5517241379310345,0.8421052631578947,0.3103448275862069,0.8181818181818182,0.13793103448275862,0.6666666666666666,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.6666666666666666,0.3125,0.0,0.5578817733990147,nan,nan,0.6904761904761905,1.5476190476190477,1.4868652820587158
LongMethod,CoordinateAscent,0.45161290322580644,0.7,0.22580645161290322,0.5833333333333334,0.16129032258064516,0.8333333333333334,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.6666666666666666,0.375,0.25,0.5925499231950845,nan,nan,0.7380952380952381,1.7380952380952381,1.0929384231567383
LongMethod,CoordinateAscent,0.6451612903225806,1.0,0.3548387096774194,0.9166666666666666,0.16129032258064516,0.8333333333333334,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.6666666666666666,0.25,0.0,0.5725806451612904,nan,nan,0.7380952380952381,1.7380952380952381,1.3347010612487793
