Dataset,Algorithm,severity@20%,rel_severity@20%,severity@10%,rel_severity@10%,severity@5%,rel_severity@5%,acc_ord_3,acc_ord_2,acc_ord_1,acc_ord_0,err_3_to_0,err_3_to_1,err_3_to_2,err_2_to_0,err_2_to_1,err_2_to_3,err_1_to_0,err_1_to_2,err_1_to_3,err_0_to_1,err_0_to_2,err_0_to_3,accuracy@100%,accuracy@40%,accuracy@20%,CLC,spearmanr,kendalltau,MAE,MSE,time
DataClass,GBR,0.39344262295081966,1.0,0.19672131147540983,1.0,0.09836065573770492,1.0,0.8333333333333334,1.0,0.0,0.8125,0.0,0.08333333333333333,0.08333333333333333,0.0,0.0,0.0,0.3333333333333333,0.6666666666666666,0.0,0.125,0.0625,0.0,0.8095238095238095,0.875,1.0,0.7047228727556597,0.89523940838962,0.8411669367909237,0.23809523809523808,0.3333333333333333,0.23438262939453125
DataClass,GBR,0.3870967741935484,1.0,0.1935483870967742,1.0,0.0967741935483871,1.0,0.75,0.8181818181818182,0.75,0.8666666666666667,0.0,0.08333333333333333,0.16666666666666666,0.0,0.18181818181818182,0.0,0.0,0.25,0.0,0.0,0.13333333333333333,0.0,0.8095238095238095,0.8125,1.0,0.7054531490015361,0.8615764420146532,0.8142095755458909,0.2619047619047619,0.40476190476190477,0.19547748565673828
DataClass,GBR,0.3548387096774194,0.9166666666666666,0.1774193548387097,0.9166666666666666,0.0967741935483871,1.0,0.6666666666666666,0.7272727272727273,0.25,0.8,0.0,0.0,0.3333333333333333,0.0,0.0,0.2727272727272727,0.25,0.5,0.0,0.2,0.0,0.0,0.6904761904761905,0.6875,0.75,0.7058371735791091,0.8754273239389531,0.800001007812436,0.30952380952380953,0.30952380952380953,0.25830960273742676
DataClass,GBR,0.359375,0.9583333333333334,0.1875,1.0,0.09375,1.0,0.6923076923076923,0.8181818181818182,0.3333333333333333,0.5333333333333333,0.0,0.0,0.3076923076923077,0.0,0.09090909090909091,0.09090909090909091,0.0,0.6666666666666666,0.0,0.4,0.06666666666666667,0.0,0.6428571428571429,0.6875,0.875,0.6904761904761905,0.867650240834571,0.8016883016887025,0.38095238095238093,0.42857142857142855,0.22240447998046875
DataClass,GBR,0.375,1.0,0.1875,1.0,0.09375,1.0,0.7692307692307693,0.7272727272727273,0.0,0.8666666666666667,0.0,0.0,0.23076923076923078,0.0,0.18181818181818182,0.09090909090909091,0.3333333333333333,0.6666666666666666,0.0,0.13333333333333333,0.0,0.0,0.7380952380952381,0.875,1.0,0.7124255952380952,0.9085255952786401,0.8457561172383693,0.2619047619047619,0.2619047619047619,0.2263936996459961
DataClass,GBR,0.359375,0.9583333333333334,0.1875,1.0,0.09375,1.0,0.7692307692307693,0.7272727272727273,1.0,0.9333333333333333,0.0,0.0,0.23076923076923078,0.0,0.18181818181818182,0.09090909090909091,0.0,0.0,0.0,0.06666666666666667,0.0,0.0,0.8333333333333334,0.9375,0.875,0.7142857142857143,0.9389925287537124,0.8997804739075561,0.16666666666666666,0.16666666666666666,0.21941471099853516
DataClass,GBR,0.328125,0.875,0.1875,1.0,0.09375,1.0,0.5384615384615384,0.5454545454545454,0.6666666666666666,0.7333333333333333,0.0,0.0,0.46153846153846156,0.0,0.45454545454545453,0.0,0.0,0.3333333333333333,0.0,0.2,0.06666666666666667,0.0,0.6190476190476191,0.6875,0.875,0.6941964285714286,0.8571959686406622,0.7945337381300369,0.40476190476190477,0.4523809523809524,0.1904923915863037
DataClass,GBR,0.3333333333333333,0.875,0.1746031746031746,0.9166666666666666,0.07936507936507936,0.8333333333333334,0.6666666666666666,0.5,1.0,0.9333333333333333,0.0,0.08333333333333333,0.25,0.0,0.25,0.25,0.0,0.0,0.0,0.0,0.06666666666666667,0.0,0.7380952380952381,0.6875,0.625,0.6974678760393047,0.8576640428398286,0.7954689452096483,0.30952380952380953,0.40476190476190477,0.19747447967529297
DataClass,GBR,0.36507936507936506,0.9583333333333334,0.19047619047619047,1.0,0.09523809523809523,1.0,0.6666666666666666,0.75,1.0,1.0,0.0,0.0,0.3333333333333333,0.0,0.16666666666666666,0.08333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.8333333333333334,0.875,0.875,0.712962962962963,0.9372879664754222,0.8986778872349058,0.16666666666666666,0.16666666666666666,0.19647455215454102
DataClass,GBR,0.38095238095238093,1.0,0.19047619047619047,1.0,0.09523809523809523,1.0,0.5833333333333334,0.6666666666666666,0.3333333333333333,0.8,0.0,0.0,0.4166666666666667,0.0,0.3333333333333333,0.0,0.0,0.6666666666666666,0.0,0.06666666666666667,0.13333333333333333,0.0,0.6666666666666666,0.6875,0.875,0.6902872260015119,0.832105778787037,0.7717051773990087,0.38095238095238093,0.47619047619047616,0.19248485565185547
