Dataset,Algorithm,severity@20%,rel_severity@20%,severity@10%,rel_severity@10%,severity@5%,rel_severity@5%,acc_ord_3,acc_ord_2,acc_ord_1,acc_ord_0,err_3_to_0,err_3_to_1,err_3_to_2,err_2_to_0,err_2_to_1,err_2_to_3,err_1_to_0,err_1_to_2,err_1_to_3,err_0_to_1,err_0_to_2,err_0_to_3,accuracy@100%,accuracy@40%,accuracy@20%,CLC,spearmanr,kendalltau,MAE,MSE,time
LongMethod,LR,0.6129032258064516,0.95,0.3548387096774194,0.9166666666666666,0.16129032258064516,0.8333333333333334,0.0,0.5555555555555556,1.0,1.0,0.0,0.0,1.0,0.1111111111111111,0.2222222222222222,0.1111111111111111,0.0,0.0,0.0,0.0,0.0,0.0,0.8095238095238095,0.5625,0.5,0.8252688172043007,0.9346939371787385,0.8895267558053348,0.21428571428571427,0.2619047619047619,0.007934331893920898
LongMethod,LR,0.5806451612903226,0.9,0.3548387096774194,0.9166666666666666,0.16129032258064516,0.8333333333333334,0.25,0.6666666666666666,0.0,0.8928571428571429,0.0,0.0,0.75,0.0,0.3333333333333333,0.0,0.0,1.0,0.0,0.10714285714285714,0.0,0.0,0.7619047619047619,0.4375,0.625,0.8283410138248848,0.9041996667035599,0.8488573980566636,0.23809523809523808,0.23809523809523808,0.0059337615966796875
LongMethod,LR,0.6129032258064516,0.95,0.3225806451612903,0.8333333333333334,0.16129032258064516,0.8333333333333334,0.5,0.7777777777777778,0.0,0.8214285714285714,0.0,0.0,0.5,0.0,0.1111111111111111,0.1111111111111111,0.0,1.0,0.0,0.17857142857142858,0.0,0.0,0.7619047619047619,0.5625,0.75,0.8429339477726574,0.8880923673893305,0.8261092354078015,0.23809523809523808,0.23809523809523808,0.005982637405395508
LongMethod,LR,0.5161290322580645,0.8,0.22580645161290322,0.5833333333333334,0.16129032258064516,0.8333333333333334,0.0,0.6666666666666666,0.0,0.8928571428571429,0.0,0.0,1.0,0.0,0.3333333333333333,0.0,0.0,1.0,0.0,0.07142857142857142,0.03571428571428571,0.0,0.7380952380952381,0.375,0.625,0.8283410138248847,0.8709242386196413,0.8173378965356997,0.2857142857142857,0.3333333333333333,0.004986286163330078
LongMethod,LR,0.6333333333333333,1.0,0.36666666666666664,1.0,0.2,1.0,1.0,0.6,1.0,0.9642857142857143,0.0,0.0,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.03571428571428571,0.0,0.0,0.8809523809523809,0.6875,1.0,0.8444444444444446,0.9600282547559039,0.935202762683204,0.11904761904761904,0.11904761904761904,0.004987478256225586
LongMethod,LR,0.6333333333333333,1.0,0.36666666666666664,1.0,0.2,1.0,1.0,0.7,1.0,0.7857142857142857,0.0,0.0,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.21428571428571427,0.0,0.0,0.7857142857142857,0.625,1.0,0.8246031746031744,0.8580340457729382,0.8259126233700551,0.21428571428571427,0.21428571428571427,0.004987955093383789
LongMethod,LR,0.6,0.9473684210526315,0.3333333333333333,0.9090909090909091,0.16666666666666666,0.8333333333333334,0.6666666666666666,0.8,1.0,0.8928571428571429,0.0,0.0,0.3333333333333333,0.0,0.1,0.1,0.0,0.0,0.0,0.10714285714285714,0.0,0.0,0.8571428571428571,0.6875,0.875,0.8444444444444446,0.9214262260937498,0.8814825547070535,0.14285714285714285,0.14285714285714285,0.005984067916870117
LongMethod,LR,0.6333333333333333,1.0,0.36666666666666664,1.0,0.2,1.0,1.0,0.4,0.0,0.8571428571428571,0.0,0.0,0.0,0.0,0.4,0.2,0.0,1.0,0.0,0.14285714285714285,0.0,0.0,0.7380952380952381,0.4375,0.75,0.8285714285714288,0.8805429938455942,0.8296837826926923,0.2619047619047619,0.2619047619047619,0.0059735774993896484
LongMethod,LR,0.6333333333333333,1.0,0.36666666666666664,1.0,0.2,1.0,1.0,0.7,0.0,0.9285714285714286,0.0,0.0,0.0,0.0,0.2,0.1,0.0,1.0,0.0,0.07142857142857142,0.0,0.0,0.8571428571428571,0.625,0.875,0.8420634920634921,0.9384520023358793,0.8977400249468364,0.14285714285714285,0.14285714285714285,0.0059850215911865234
LongMethod,LR,0.5862068965517241,0.8947368421052632,0.3103448275862069,0.8181818181818182,0.20689655172413793,1.0,0.6666666666666666,0.7777777777777778,0.5,0.75,0.0,0.0,0.3333333333333333,0.0,0.2222222222222222,0.0,0.0,0.5,0.0,0.25,0.0,0.0,0.7380952380952381,0.625,0.875,0.829638752052545,0.8478788423420995,0.7987049505812828,0.2619047619047619,0.2619047619047619,0.004988431930541992
LongMethod,LR,0.5483870967741935,0.85,0.22580645161290322,0.5833333333333334,0.12903225806451613,0.6666666666666666,0.0,0.4444444444444444,0.0,0.7142857142857143,0.0,0.0,1.0,0.0,0.4444444444444444,0.1111111111111111,0.0,1.0,0.0,0.2857142857142857,0.0,0.0,0.5714285714285714,0.25,0.5,0.8237327188940089,0.8052595430917766,0.7366326057498455,0.42857142857142855,0.42857142857142855,0.005983591079711914
