Dataset,Algorithm,severity@20%,rel_severity@20%,severity@10%,rel_severity@10%,severity@5%,rel_severity@5%,acc_ord_3,acc_ord_2,acc_ord_1,acc_ord_0,err_3_to_0,err_3_to_1,err_3_to_2,err_2_to_0,err_2_to_1,err_2_to_3,err_1_to_0,err_1_to_2,err_1_to_3,err_0_to_1,err_0_to_2,err_0_to_3,accuracy@100%,accuracy@40%,accuracy@20%,CLC,spearmanr,kendalltau,MAE,MSE,time
LongMethod,O-SVM,0.5483870967741935,0.85,0.3225806451612903,0.8333333333333334,0.1935483870967742,1.0,0.5,0.7777777777777778,0.0,1.0,0.0,0.0,0.5,0.2222222222222222,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.8809523809523809,0.8125,0.875,0.8275729646697387,0.9000019477210043,0.8745244048725838,0.16666666666666666,0.2619047619047619,0.05687832832336426
LongMethod,O-SVM,0.5806451612903226,0.9,0.3225806451612903,0.8333333333333334,0.1935483870967742,1.0,0.25,0.8888888888888888,0.0,1.0,0.0,0.0,0.75,0.1111111111111111,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.8809523809523809,0.75,0.875,0.809907834101382,0.939461451829282,0.9078074647039813,0.14285714285714285,0.19047619047619047,0.058843374252319336
LongMethod,O-SVM,0.5483870967741935,0.85,0.2903225806451613,0.75,0.12903225806451613,0.6666666666666666,0.5,0.6666666666666666,0.0,0.9642857142857143,0.0,0.0,0.5,0.0,0.0,0.3333333333333333,0.0,0.0,1.0,0.0,0.03571428571428571,0.0,0.8333333333333334,0.5625,0.5,0.8260368663594471,0.9218118980701799,0.8490587176169837,0.21428571428571427,0.30952380952380953,0.05983996391296387
LongMethod,O-SVM,0.5806451612903226,0.9,0.3225806451612903,0.8333333333333334,0.16129032258064516,0.8333333333333334,0.25,0.8888888888888888,0.0,1.0,0.0,0.0,0.75,0.1111111111111111,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.8809523809523809,0.6875,0.625,0.8291090629800305,0.939461451829282,0.9078074647039813,0.14285714285714285,0.19047619047619047,0.05884265899658203
LongMethod,O-SVM,0.6333333333333333,1.0,0.36666666666666664,1.0,0.2,1.0,1.0,0.9,0.0,0.9642857142857143,0.0,0.0,0.0,0.1,0.0,0.0,1.0,0.0,0.0,0.03571428571428571,0.0,0.0,0.9285714285714286,0.9375,1.0,0.7960317460317456,0.9012007204378415,0.8838866025023303,0.09523809523809523,0.14285714285714285,0.05880165100097656
LongMethod,O-SVM,0.6,0.9473684210526315,0.36666666666666664,1.0,0.2,1.0,0.6666666666666666,0.9,0.0,0.9642857142857143,0.0,0.0,0.3333333333333333,0.1,0.0,0.0,0.0,1.0,0.0,0.0,0.03571428571428571,0.0,0.9047619047619048,0.8125,0.75,0.7896825396825402,0.8968181261395445,0.8791850780209348,0.14285714285714285,0.23809523809523808,0.057847023010253906
LongMethod,O-SVM,0.5333333333333333,0.8421052631578947,0.36666666666666664,1.0,0.2,1.0,0.6666666666666666,1.0,0.0,0.9642857142857143,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.03571428571428571,0.0,0.9285714285714286,0.8125,0.625,0.8333333333333336,0.9461557749437843,0.9284163702544912,0.09523809523809523,0.14285714285714285,0.05784463882446289
LongMethod,O-SVM,0.6333333333333333,1.0,0.36666666666666664,1.0,0.2,1.0,0.6666666666666666,0.9,0.0,0.9642857142857143,0.0,0.0,0.3333333333333333,0.0,0.1,0.0,0.0,1.0,0.0,0.0,0.03571428571428571,0.0,0.9047619047619048,0.75,0.875,0.8261904761904763,0.9397454071897047,0.9134775554927949,0.11904761904761904,0.16666666666666666,0.05884218215942383
LongMethod,O-SVM,0.5666666666666667,0.8947368421052632,0.3,0.8181818181818182,0.2,1.0,0.3333333333333333,0.9,0.0,0.9642857142857143,0.0,0.0,0.6666666666666666,0.1,0.0,0.0,0.0,1.0,0.0,0.03571428571428571,0.0,0.0,0.8809523809523809,0.75,0.75,0.8126984126984127,0.914555823841781,0.8804782083987911,0.14285714285714285,0.19047619047619047,0.06482601165771484
LongMethod,O-SVM,0.5172413793103449,0.7894736842105263,0.2413793103448276,0.6363636363636364,0.13793103448275862,0.6666666666666666,0.0,1.0,0.0,0.9642857142857143,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.03571428571428571,0.0,0.8571428571428571,0.625,0.875,0.8288177339901478,0.9302213946299721,0.8924058840298039,0.16666666666666666,0.21428571428571427,0.05684471130371094
LongMethod,O-SVM,0.5161290322580645,0.8,0.3548387096774194,0.9166666666666666,0.1935483870967742,1.0,0.75,0.7777777777777778,0.0,0.9285714285714286,0.0,0.0,0.25,0.2222222222222222,0.0,0.0,0.0,1.0,0.0,0.03571428571428571,0.03571428571428571,0.0,0.8571428571428571,0.75,0.75,0.8014592933947772,0.8313930910277253,0.8059549782111458,0.21428571428571427,0.35714285714285715,0.057837486267089844
