Dataset,Algorithm,severity@20%,rel_severity@20%,severity@10%,rel_severity@10%,severity@5%,rel_severity@5%,acc_ord_3,acc_ord_2,acc_ord_1,acc_ord_0,err_3_to_0,err_3_to_1,err_3_to_2,err_2_to_0,err_2_to_1,err_2_to_3,err_1_to_0,err_1_to_2,err_1_to_3,err_0_to_1,err_0_to_2,err_0_to_3,accuracy@100%,accuracy@40%,accuracy@20%,CLC,spearmanr,kendalltau,MAE,MSE,time
LongMethod,O-CART,0.5806451612903226,0.9,0.3548387096774194,0.9166666666666666,0.1935483870967742,1.0,0.75,0.7777777777777778,0.0,1.0,0.0,0.0,0.25,0.1111111111111111,0.0,0.1111111111111111,0.0,1.0,0.0,0.0,0.0,0.0,0.9047619047619048,0.8125,0.75,0.8375576036866356,0.9431202390696636,0.9161834382871574,0.11904761904761904,0.16666666666666666,0.009009361267089844
LongMethod,O-CART,0.5806451612903226,0.9,0.3548387096774194,0.9166666666666666,0.1935483870967742,1.0,0.5,1.0,0.0,1.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.9285714285714286,0.8125,0.75,0.8413978494623656,0.9874811420387347,0.9619029485349028,0.07142857142857142,0.07142857142857142,0.008976221084594727
LongMethod,O-CART,0.6451612903225806,1.0,0.3225806451612903,0.8333333333333334,0.12903225806451613,0.6666666666666666,1.0,0.6666666666666666,0.0,1.0,0.0,0.0,0.0,0.0,0.1111111111111111,0.2222222222222222,0.0,1.0,0.0,0.0,0.0,0.0,0.9047619047619048,0.75,0.75,0.8452380952380952,0.9870019098721775,0.9572290580103375,0.09523809523809523,0.09523809523809523,0.008973836898803711
LongMethod,O-CART,0.6129032258064516,0.95,0.2903225806451613,0.75,0.16129032258064516,0.8333333333333334,0.25,0.8888888888888888,0.0,1.0,0.0,0.0,0.75,0.0,0.0,0.1111111111111111,0.0,1.0,0.0,0.0,0.0,0.0,0.8809523809523809,0.6875,0.625,0.8344854070660521,0.9767476513644007,0.9315516419063743,0.11904761904761904,0.11904761904761904,0.009972810745239258
LongMethod,O-CART,0.6333333333333333,1.0,0.36666666666666664,1.0,0.2,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.9761904761904762,1.0,1.0,0.8349206349206344,0.9758771588482719,0.967280819570018,0.023809523809523808,0.023809523809523808,0.008975982666015625
LongMethod,O-CART,0.5333333333333333,0.8421052631578947,0.36666666666666664,1.0,0.2,1.0,0.6666666666666666,0.9,0.0,0.9285714285714286,0.0,0.0,0.3333333333333333,0.0,0.1,0.0,0.0,1.0,0.0,0.03571428571428571,0.03571428571428571,0.0,0.8809523809523809,0.6875,0.625,0.8365079365079365,0.919284559831758,0.8865279580557959,0.14285714285714285,0.19047619047619047,0.008985042572021484
LongMethod,O-CART,0.6,0.9473684210526315,0.3333333333333333,0.9090909090909091,0.16666666666666666,0.8333333333333334,0.6666666666666666,0.8,0.0,1.0,0.0,0.0,0.3333333333333333,0.0,0.1,0.1,0.0,1.0,0.0,0.0,0.0,0.0,0.9047619047619048,0.75,0.625,0.8404761904761905,0.9829772247006339,0.9471264367816092,0.09523809523809523,0.09523809523809523,0.008976936340332031
LongMethod,O-CART,0.6,0.9473684210526315,0.3,0.8181818181818182,0.16666666666666666,0.8333333333333334,0.3333333333333333,0.9,1.0,1.0,0.0,0.3333333333333333,0.3333333333333333,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.9285714285714286,0.8125,0.75,0.8357142857142856,0.9740579947376145,0.923077531452845,0.09523809523809523,0.14285714285714285,0.008975744247436523
LongMethod,O-CART,0.5666666666666667,0.8947368421052632,0.3333333333333333,0.9090909090909091,0.2,1.0,0.6666666666666666,0.8,0.0,1.0,0.0,0.0,0.3333333333333333,0.1,0.1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.9047619047619048,0.8125,0.875,0.8365079365079365,0.941537749431912,0.9151262692009371,0.11904761904761904,0.16666666666666666,0.008977413177490234
LongMethod,O-CART,0.5172413793103449,0.7894736842105263,0.3103448275862069,0.8181818181818182,0.13793103448275862,0.6666666666666666,0.3333333333333333,0.5555555555555556,0.0,0.9642857142857143,0.0,0.0,0.6666666666666666,0.1111111111111111,0.0,0.3333333333333333,0.0,1.0,0.0,0.0,0.03571428571428571,0.0,0.7857142857142857,0.5,0.5,0.7976190476190474,0.8795867632263609,0.8274939629230077,0.2619047619047619,0.35714285714285715,0.008931875228881836
LongMethod,O-CART,0.6129032258064516,0.95,0.3870967741935484,1.0,0.1935483870967742,1.0,1.0,0.8888888888888888,0.0,1.0,0.0,0.0,0.0,0.0,0.1111111111111111,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.9523809523809523,0.875,0.875,0.8513824884792627,0.9941568306649526,0.9773242630385488,0.047619047619047616,0.047619047619047616,0.009043216705322266
LongMethod,O-CART,0.6129032258064516,0.95,0.3225806451612903,0.8333333333333334,0.16129032258064516,0.8333333333333334,0.75,0.7777777777777778,0.0,1.0,0.0,0.0,0.25,0.0,0.0,0.2222222222222222,0.0,1.0,0.0,0.0,0.0,0.0,0.9047619047619048,0.75,0.75,0.8429339477726574,0.9822265476693192,0.947618034598738,0.09523809523809523,0.09523809523809523,0.011967182159423828
LongMethod,O-CART,0.6451612903225806,1.0,0.3548387096774194,0.9166666666666666,0.16129032258064516,0.8333333333333334,0.75,0.7777777777777778,0.0,1.0,0.0,0.0,0.25,0.1111111111111111,0.0,0.1111111111111111,0.0,1.0,0.0,0.0,0.0,0.0,0.9047619047619048,0.75,0.75,0.8383256528417817,0.9431202390696636,0.9161834382871574,0.11904761904761904,0.16666666666666666,0.008975744247436523
